10,1,18
29,1,11
29,36,6
52,1,16
72,1,14
72,49,5
85,1,16
114,26,8
114,48,8
134,42,16
162,69,16
162,102,5
180,49,5
205,22,13
205,86,4
222,5,11
245,28,11
245,46,7
264,1,13
291,1,7
291,53,3
306,1,8
330,18,9
330,34,3
340,31,12
364,56,6
364,69,7
378,39,7
402,60,12
402,89,4
426,28,18
441,48,11
441,72,4
460,62,17
473,40,19
473,107,8
485,52,19
502,30,8
502,107,8
530,5,8
552,1,12
552,57,8
570,9,12
590,30,14
590,67,6
617,1,15
628,10,10
628,41,3
650,27,15
664,48,7
664,70,3
690,19,6
719,48,12
719,64,7
735,64,11
759,87,12
759,103,6
784,57,12
803,40,7
803,110,3
819,57,8
838,71,11
838,104,8
866,100,14
886,76,7
886,146,7
910,52,9
926,69,12
926,87,5
954,98,6
973,70,15
973,142,4
984,62,14
1008,83,14
1008,110,3
1021,68,5
1033,50,12
1033,101,6
1056,74,11
1085,40,8
1085,137,7
1104,62,8
1116,72,14
1116,95,8
1140,98,8
1165,70,11
1165,144,9
1189,41,11
1217,70,11
1217,92,4
1245,96,18
1264,118,11
1264,151,9
1277,103,5
1298,122,13
1298,144,5
1317,139,10
1346,165,15
1346,203,5
1366,39,117
