27568,26925,1240
67174,66613,1103
67174,68903,567
67174,69679,1191
101397,31408,1930
101397,104076,961
122291,52542,1643
122291,54628,705
192856,123130,1700
192856,126188,1825
274322,204495,1801
274322,206712,503
274322,208348,1322
352179,125928,1263
426768,200332,1582
426768,202558,576
426768,204082,872
491116,135463,1475
491116,267809,1371
566007,210002,1670
566007,212632,926
657974,302320,1152
657974,305765,1480
721996,366306,1474
721996,367887,606
721996,369784,1496
755595,331927,1589
776354,311271,1450
776354,355434,992
776354,355794,878
853412,388218,1673
853412,392421,955
911315,445990,1509
911315,448771,523
988256,522920,1815
988256,527754,1670
999648,510871,1244
999648,536570,594
999648,538522,866
1009740,520936,1410
1105635,616823,1402
1105635,618656,700
1105635,620176,1137
1161197,560538,1572
1161197,676734,947
1202339,601897,1114
1202339,603511,586
1279934,679202,1620
1279934,683691,993
1342195,741610,1446
1342195,743864,959
1342195,744767,1026
1420089,662788,1818
1476629,606468,1304
1476629,721831,692
1476629,722954,561
1552138,681762,1737
1552138,686310,1270
1619845,749483,1506
1619845,751519,920
1675431,693212,1305
1675431,809308,1779
1767686,785574,1418
1767686,787261,965
1767686,789081,701
1859892,877851,1373
1875194,892903,1530
1875194,895268,723
1875194,897439,1690
1928656,838862,1236
1928656,949456,929
1989239,777962,1409
1989239,901459,528
2057672,709584,1564
2057672,851124,1564
2131692,783596,1453
2131692,785780,515
2131692,786744,561
2166275,748017,1840
2215551,797734,1082
2215551,799397,860
2215551,800661,1922
2246917,828873,1753
2246917,832328,1103
2312306,894398,1229
2312306,896662,860
2334063,871739,1688
2334063,920771,532
2356899,849044,1583
2356899,896586,551
2356899,898811,1735
2411377,903288,1955
2462074,851820,1291
2462074,956263,871
2462074,958100,1008
2515900,905839,1548
2515900,909497,1378
2605766,995636,1549
2605766,998032,715
2653800,1043740,1473
2653800,1047057,1525
2713454,983471,1464
2713454,1105090,833
2713454,1106229,1808
2810746,1080863,1475
2836525,1106224,1638
2836525,1108891,967
2836525,1110380,1823
2924277,1193961,1606
2924277,1198751,535
2990822,1126901,1077
2990822,1263158,507
3062346,1198129,1366
3062346,1202394,837
3145732,1281368,1475
3145732,1284205,846
3145732,1285776,1600
3209974,1345733,1371
3222557,1332334,1522
3222557,1360928,745
3222557,1361490,754
3250883,1360774,1509
3250883,1364208,551
3350708,1460471,1608
3350708,1463069,976
3405828,1515827,1517
3405828,1520347,1216
3440001,1480973,1240
3440001,1552230,883
3440001,1553592,854
3457943,1498971,1217
3524615,1565713,1268
3524615,1567546,600
3524615,1568934,1345
3549617,1590639,1267
3549617,1594622,1436
3603373,1536042,1696
3603373,1646034,968
3646615,1579214,1908
3646615,1583841,1588
3676007,1608888,1412
3676007,1610963,866
3676007,1612333,1762
3703337,1635984,1376
3715884,1622489,1584
3715884,1651153,645
3715884,1652535,1078
3768524,1569852,1805
3768524,1679218,978
3848612,1649980,1620
3848612,1652703,861
3882697,1615342,1076
3882697,1687982,1582
3923921,1656616,1313
3923921,1658235,737
3923921,1659857,1361
3993853,1585863,1748
4016328,1608434,1377
4016328,1610864,998
4016328,1611759,788
4109165,1701212,1570
4109165,1705622,1822
4169984,1639869,1217
4169984,1763882,981
4227694,1581760,1869
4227694,1701415,1313
4269976,1624176,1550
4269976,1626419,981
4269976,1627608,770
4351216,1705671,1161
4428953,1783073,1674
4428953,1785765,674
4428953,1786967,658
4453284,1757756,1673
4453284,1810992,792
4539946,1844592,1432
4539946,1847208,985
4561745,1821808,1839
4561745,1870670,1158
4627182,1887484,1440
4627182,1890180,942
4627182,1890496,907
4689943,1950472,1279
4722012,1917560,1737
4722012,1984728,741
4722012,1986858,1906
4806059,1833719,1214
4806059,2005176,666
4827956,1855416,1681
4827956,1858218,626
4856764,1825830,1637
4856764,1889057,1926
4896749,1785821,1426
4896749,1868359,792
4896749,1869551,1501
4910282,1772104,1601
4998303,1860595,1307
4998303,1862588,977
4998303,1864971,1387
5023967,1886025,1713
5023967,1890065,715
5053728,1855375,1601
5053728,1918397,603
5089165,1890728,1783
5089165,1894860,1143
5128396,1850832,1239
5128396,1932856,883
5128396,1934136,913
5194438,1916890,1637
5289575,2011946,1327
5289575,2013867,949
5289575,2015571,1651
5384674,1915950,1864
5384674,2111732,820
5424010,1955583,1463
5424010,1957523,810
5468713,2000223,1540
5468713,2004254,985
5512669,2044224,1453
5512669,2046444,632
5512669,2047437,655
5571795,1984566,1417
5625534,1930573,1732
5625534,2040136,899
5625534,2041321,1688
5711531,1844682,1519
5711531,2019844,662
5765771,1898984,1543
5765771,1901437,852
5826710,1837092,1841
5826710,1964321,605
5899491,1764446,1623
5899491,1912022,866
5899491,1914672,759
5928490,1735270,1977
5945023,1752242,1175
5945023,1754396,725
5945023,1755691,755
5999045,1697505,1356
5999045,1809840,550
6025191,1671216,1666
6025191,1726015,634
6061342,1707597,1425
6061342,1710433,1170
6071411,1696829,1282
6071411,1720175,812
6071411,1720990,1258
6132884,1758393,1510
6232583,1857717,1943
6232583,1859723,514
6232583,1862479,821
6315159,1774305,1567
6315159,1944350,587
6404644,1863917,1311
6404644,1866286,614
6485493,1782520,1290
6485493,1948222,1673
6570196,1867253,1231
6570196,1869318,872
6570196,1870151,1101
6630009,1806497,1476
6648405,1788175,1564
6648405,1827668,526
6648405,1829489,1256
6671549,1811678,1483
6671549,1814832,1896
6768778,1908784,1613
6768778,1910569,774
6861537,2001576,1225
6861537,2005318,860
6957891,1904538,1453
6957891,2099840,662
6957891,2101357,1745
7005125,1857377,1249
7016868,1869129,1255
7016868,1870812,662
7016868,1872247,1811
7106857,1778278,1548
7106857,1963621,668
7158833,1830609,1390
7158833,1833061,922
7245916,1917471,1691
7245916,1920984,1515
7270693,1942332,1175
7270693,1944608,765
7270693,1945365,1063
7342390,1869865,1739
7355805,1883149,1819
7355805,1885384,589
7355805,1886929,907
7440029,1967365,1773
7440029,1972154,862
7497819,1908968,1130
7497819,2027382,540
7536932,1947928,1341
7536932,1952128,1729
7608051,2018996,1747
7608051,2020896,610
7608051,2023346,1987
7703474,1921574,2668
